time_msec,throughput,current_buffer,current_playing_segment
114913,1380.12,0,12
115073,67.027,1.86,13
115177,1228.62,1.75,13
115282,1563.69,1.651,13
115385,1691.65,1.55,13
115494,1705.1,1.439,13
115600,1216.91,1.33,13
115701,1610.14,1.23,13
115807,1643.77,1.12,13
115910,1936,1.02,13
116016,1753.36,0.91,13
116116,1393.92,0.81,13
116217,2439.36,0.711,13
116328,1584,0.601,13
116432,1340.31,0.5,13
116543,1795.2,0.39,13
116646,1594.35,0.28,13
116746,2555.52,0.18,13
116851,1563.69,0.08,13
116956,1327.54,0,13
117064,2496.9,0,13
117169,1770.06,0,13
117272,1578.87,0,13
117376,2029.98,0,13
117488,1465.08,0,13
117596,1290.67,0,13
117696,1742.4,0,13
117798,2300.2,0,13
117898,1161.6,0,13
117998,1626.24,0,13
118100,1725.15,0,13
118201,2530.22,0,13
118301,1161.6,0,13
118402,1393.92,0,13
118504,2070.18,0,13
118609,2792.31,0,13
118717,1290.67,0,13
118823,2101.94,0,13
118928,1770.06,0,13
119037,1705.1,0,13
119154,1602.21,0,13
119257,1936,0,13
119359,1708.24,0,13
119468,1811.67,0,13
119575,1315.02,0,13
119677,2505.41,0,13
119785,1085.61,0,13
119889,1675.38,0,13
119990,1725.15,0,13
120093,2368.31,0,13
120194,1045.44,0,13
120300,1659.43,0,13
120405,1548.8,0,13
120506,2990.26,0,13
120612,1659.43,0,13
120719,1862.94,0,13
120820,1725.15,0,13
120922,1366.59,0,13
121048,331.52,1.91,14
121152,1578.87,1.811,14
121257,1898.77,1.701,14
121358,1610.14,1.6,14
121460,1955.17,1.501,14
121564,1240.54,1.4,14
121670,1424.6,1.291,14
121772,2070.18,1.191,14
121878,1315.02,1.081,14
121978,1277.76,0.981,14
122088,1278.83,0.87,14
122189,1265.11,0.771,14
122302,1348.29,0.66,14
122406,1691.65,0.551,14
122518,1452,0.441,14
122632,1953.13,0.331,14
122732,1626.24,0.231,14
122832,1742.4,0.131,14
122937,1659.43,0.021,14
123040,1822.12,0,14
123146,1548.8,0,14
123253,1845.53,0,14
123356,1917.2,0,14
123463,1753.36,0,14
123564,1045.44,0,14
123665,1495.13,0,14
123769,1787.08,0,14
123870,2415.21,0,14
123977,1205.43,0,14
124083,2191.7,0,14
124188,1880.69,0,14
124292,1691.65,0,14
124396,1675.38,0,14
124496,2323.2,0,14
124600,1578.87,0,14
124703,1936,0,14
124809,1770.06,0,14
124912,1466.1,0,14
125014,2049.88,0,14
125115,1725.15,0,14
125220,1787.08,0,14
125326,1880.69,0,14
125426,1742.4,0,14
125533,1628.41,0,14
125637,1563.69,0,14
125740,1708.24,0,14
125842,1366.59,0,14
125946,2029.98,0,14
126048,1725.15,0,14
126151,1691.65,0,14
126252,1725.15,0,14
126354,2415.21,0,14
126455,1840.16,0,14
126561,1753.36,0,14
126667,1770.06,0,14
126773,1770.06,0,14
126878,1770.06,0,14
126983,1675.38,0,14
127088,1452,0,14
127191,1691.65,0,14
127297,2191.7,0,14
127397,1277.76,0,14
127636,55.7303,1.84,15
127739,1594.35,1.73,15
127847,968,1.621,15
127953,1327.54,1.521,15
128060,1736.97,1.411,15
128161,1393.92,1.31,15
128263,2415.21,1.21,15
128374,1046.49,1.101,15
128480,1770.06,0.991,15
128584,1466.1,0.89,15
128714,178.708,0.761,15
128815,3717.12,0.661,15
128915,1974.72,0.56,15
129020,1548.8,0.451,15
129122,1610.14,0.351,15
129222,1974.72,0.25,15
129328,1862.94,0.141,15
129442,1426.53,0.03,15
129546,1578.87,0,15
129647,1725.15,0,15
129749,2070.18,0,15
129853,1452,0,15
129958,1675.38,0,15
130059,1725.15,0,15
130163,1804.43,0,15
130268,1880.69,0,15
130370,1252.71,0,15
130471,1840.16,0,15
130575,1917.2,0,15
130677,2505.41,0,15
130785,1505.78,0,15
130886,1510.08,0,15
130992,2212.57,0,15
131097,2101.94,0,15
131199,1366.59,0,15
131304,1770.06,0,15
131430,1765.63,0,15
131538,1505.78,0,15
131642,1452,0,15
131743,1742.4,0,15
131854,2323.2,0,15
131954,1161.6,0,15
132060,2323.2,0,15
132169,1811.67,0,15
132270,1150.1,0,15
132374,1563.69,0,15
132482,2171.21,0,15
132586,2457.23,0,15
132689,1822.12,0,15
132795,1770.06,0,15
132901,1659.43,0,15
133001,1858.56,0,15
133107,1643.77,0,15
133215,1936,0,15
133322,1534.19,0,15
133423,1858.56,0,15
133526,1917.2,0,15
133636,1065.69,0,15
133745,1720.89,0,15
133847,2070.18,0,15
133949,1936,0,15
134057,1519.85,0,15
134160,1353.32,0,15
134335,70.8571,1.869,16
134441,1862.94,1.769,16
134541,1742.4,1.67,16
134646,1563.69,1.56,16
134746,1974.72,1.46,16
134852,1438.17,1.36,16
134958,1753.36,1.249,16
135065,2062.65,1.139,16
135173,1411.29,1.03,16
135276,2142.76,0.929,16
135378,1380.12,0.829,16
135483,2212.57,0.72,16
135591,1302.73,0.62,16
135694,1240.54,0.51,16
135795,1626.24,0.41,16
135896,2645.23,0.31,16
135996,1045.44,0.21,16
136099,1480.47,0.11,16
136200,2185.19,0.011,16
136301,2439.36,0,16
136411,1689.6,0,16
136516,1340.31,0,16
136619,1594.35,0,16
136724,2655.09,0,16
136829,1770.06,0,16
136933,1466.1,0,16
137036,2029.98,0,16
137141,1563.69,0,16
137247,1991.31,0,16
137349,1480.47,0,16
137456,1954.09,0,16
137563,1519.85,0,16
